Time,No_Link
13:06:01.4,111.0
13:06:02.6,111.0
13:06:03.8,109.0
13:06:05.0,107.0
13:06:06.3,107.0
13:06:07.5,107.0
13:06:08.7,114.0
13:06:10.0,113.0
13:06:11.2,114.0
13:06:12.5,114.0
13:06:13.6,116.0
13:06:14.8,118.0
13:06:16.0,107.0
13:06:17.3,109.0
13:06:18.5,109.0
13:06:19.7,108.0
13:06:21.0,108.0
13:06:22.2,107.0
13:06:23.4,106.0
13:06:24.6,105.0
13:06:25.8,105.0
13:06:27.0,108.0
13:06:28.2,106.0
13:06:29.4,106.0
13:06:30.6,107.0
13:06:31.8,107.0
13:06:33.0,107.0
13:06:34.1,106.0
13:06:35.4,105.0
13:06:36.8,104.0
13:06:38.0,104.0
13:06:39.2,104.0
13:06:40.3,104.0
13:06:41.6,103.0
13:06:42.7,102.0
13:06:44.0,101.0
13:06:45.4,101.0
13:06:46.7,101.0
13:06:47.9,103.0
13:06:49.1,102.0
13:06:50.3,101.0
13:06:51.5,105.0
13:06:52.7,103.0
13:06:53.9,102.0
13:06:55.1,102.0
13:06:56.3,103.0
13:06:57.6,102.0
13:06:58.8,101.0
13:07:00.0,102.0
13:07:01.2,102.0
13:07:02.6,100.0
13:07:03.7,99.0
13:07:04.9,100.0
13:07:06.2,100.0
13:07:07.4,100.0
13:07:08.5,100.0
13:07:09.7,97.0
13:07:11.0,95.0
13:07:12.2,95.0
13:07:13.4,96.0
13:07:14.7,96.0
13:07:15.9,95.0
13:07:17.1,95.0
13:07:18.3,94.0
13:07:19.4,94.0
13:07:20.7,93.0
13:07:21.8,94.0
13:07:23.0,94.0
13:07:24.2,96.0
13:07:25.5,96.0
13:07:26.7,97.0
13:07:27.8,97.0
13:07:29.0,98.0
13:07:30.2,97.0
13:07:31.4,96.0
13:07:32.6,95.0
13:07:33.9,95.0
13:07:35.1,96.0
13:07:36.3,97.0
13:07:37.5,99.0
13:07:38.7,97.0
13:07:39.8,97.0
13:07:41.1,95.0
13:07:42.4,97.0
13:07:43.6,99.0
13:07:44.8,103.0
13:07:46.0,103.0
13:07:47.3,107.0
13:07:48.6,109.0
13:07:49.9,109.0
13:07:51.3,108.0
13:07:52.5,109.0
13:07:53.7,113.0
13:07:55.0,113.0
13:07:56.2,114.0
13:07:57.3,115.0
13:07:58.5,117.0
13:07:59.7,117.0
13:08:00.9,118.0
13:08:02.1,117.0
13:08:03.3,121.0
13:08:04.5,124.0
13:08:05.7,124.0
13:08:06.9,123.0
13:08:08.2,123.0
13:08:09.4,122.0
13:08:10.6,119.0
13:08:11.7,117.0
13:08:13.0,117.0
13:08:14.3,117.0
13:08:15.5,114.0
13:08:16.8,110.0
13:08:18.0,109.0
13:08:19.3,109.0
13:08:20.5,108.0
13:08:21.8,106.0
13:08:23.0,106.0
13:08:24.3,105.0
13:08:25.5,106.0
13:08:26.8,105.0
13:08:28.0,106.0
13:08:29.3,107.0
13:08:30.5,106.0
13:08:31.7,106.0
13:08:32.9,105.0
13:08:34.2,105.0
13:08:35.5,107.0
13:08:36.6,107.0
13:08:37.8,110.0
13:08:39.1,112.0
13:08:40.2,111.0
13:08:41.5,111.0
13:08:42.6,111.0
13:08:43.8,114.0
13:08:45.0,117.0
13:08:46.2,117.0
13:08:47.5,116.0
13:08:48.7,115.0
13:08:50.0,116.0
13:08:51.6,116.0
13:08:52.9,116.0
13:08:54.1,117.0
13:08:55.3,117.0
13:08:56.5,117.0
13:08:57.7,116.0
13:08:58.9,107.0
13:09:00.1,107.0
13:09:01.3,107.0
13:09:02.5,107.0
13:09:03.7,106.0
13:09:05.0,108.0
13:09:06.3,107.0
13:09:07.5,105.0
13:09:08.7,106.0
13:09:09.9,106.0
13:09:11.2,107.0
13:09:12.3,106.0
13:09:13.7,106.0
13:09:14.9,108.0
13:09:16.0,108.0
13:09:17.3,108.0
13:09:18.5,108.0
13:09:19.6,112.0
13:09:20.8,111.0
13:09:22.1,111.0
13:09:23.3,111.0
13:09:24.6,111.0
13:09:25.8,111.0
13:09:27.1,113.0
13:09:28.3,113.0
13:09:29.5,114.0
13:09:30.8,110.0
13:09:32.0,110.0
13:09:33.2,114.0
13:09:34.5,112.0
13:09:35.7,113.0
13:09:37.0,113.0
13:09:38.4,113.0
13:09:39.5,112.0
13:09:40.7,111.0
13:09:42.1,111.0
13:09:43.2,110.0
13:09:44.5,112.0
13:09:45.9,112.0
13:09:47.1,112.0
13:09:48.2,112.0
13:09:49.4,111.0
13:09:50.7,111.0
13:09:51.9,111.0
13:09:53.1,111.0
13:09:54.4,111.0
13:09:55.6,109.0
13:09:56.9,110.0
13:09:58.1,110.0
13:09:59.3,111.0
13:10:00.5,111.0
13:10:01.7,112.0
13:10:02.8,112.0
13:10:04.0,112.0
13:10:05.3,113.0
13:10:06.5,114.0
13:10:07.8,116.0
13:10:08.9,116.0
13:10:10.2,115.0
13:10:11.4,115.0
13:10:12.7,113.0
13:10:14.1,114.0
13:10:15.4,113.0
13:10:16.8,113.0
13:10:18.0,113.0
13:10:19.3,113.0
13:10:20.5,114.0
13:10:21.7,117.0
13:10:23.0,116.0
13:10:24.2,112.0
13:10:25.5,111.0
13:10:26.7,111.0
13:10:27.9,111.0
13:10:29.2,110.0
13:10:30.4,110.0
13:10:31.7,110.0
13:10:33.0,109.0
13:10:34.2,109.0
13:10:35.4,110.0
13:10:36.6,110.0
13:10:37.8,109.0
13:10:39.0,108.0
13:10:40.2,109.0
13:10:41.8,108.0
13:10:43.0,109.0
